identifier	prefix	category	group	group_name	count	new_identifier	new_prefix	new_category	new_group	new_group_name	parameter	suffix	prefix__suffix
granu_close_volume_1	granu	granulometry	granugrey	Granulometry features	1	granulometry_operation_close_volume-1	granulometry	granulometry	granulometry	Granulometry features	operation_close	volume-1	"granulometry___volume-1":
granu_close_volume_2	granu	granulometry	granugrey	Granulometry features	1	granulometry_operation_close_volume-2	granulometry	granulometry	granulometry	Granulometry features	operation_close	volume-2	"granulometry___volume-2":
granu_close_volume_3	granu	granulometry	granugrey	Granulometry features	1	granulometry_operation_close_volume-3	granulometry	granulometry	granulometry	Granulometry features	operation_close	volume-3	"granulometry___volume-3":
granu_close_volume_5	granu	granulometry	granugrey	Granulometry features	1	granulometry_operation_close_volume-5	granulometry	granulometry	granulometry	Granulometry features	operation_close	volume-5	"granulometry___volume-5":
granu_close_volume_7	granu	granulometry	granugrey	Granulometry features	1	granulometry_operation_close_volume-7	granulometry	granulometry	granulometry	Granulometry features	operation_close	volume-7	"granulometry___volume-7":
granu_open_area_1	granu	granulometry	granugrey	Granulometry features	1	granulometry_operation_open_area-1	granulometry	granulometry	granulometry	Granulometry features	operation_open	area-1	"granulometry___area-1":
granu_open_area_2	granu	granulometry	granugrey	Granulometry features	1	granulometry_operation_open_area-2	granulometry	granulometry	granulometry	Granulometry features	operation_open	area-2	"granulometry___area-2":
granu_open_area_3	granu	granulometry	granugrey	Granulometry features	1	granulometry_operation_open_area-3	granulometry	granulometry	granulometry	Granulometry features	operation_open	area-3	"granulometry___area-3":
granu_open_area_5	granu	granulometry	granugrey	Granulometry features	1	granulometry_operation_open_area-5	granulometry	granulometry	granulometry	Granulometry features	operation_open	area-5	"granulometry___area-5":
granu_open_area_7	granu	granulometry	granugrey	Granulometry features	1	granulometry_operation_open_area-7	granulometry	granulometry	granulometry	Granulometry features	operation_open	area-7	"granulometry___area-7":
granu_open_volume_1	granu	granulometry	granugrey	Granulometry features	1	granulometry_operation_open_volume-1	granulometry	granulometry	granulometry	Granulometry features	operation_open	volume-1	"granulometry___volume-1":
granu_open_volume_2	granu	granulometry	granugrey	Granulometry features	1	granulometry_operation_open_volume-2	granulometry	granulometry	granulometry	Granulometry features	operation_open	volume-2	"granulometry___volume-2":
granu_open_volume_3	granu	granulometry	granugrey	Granulometry features	1	granulometry_operation_open_volume-3	granulometry	granulometry	granulometry	Granulometry features	operation_open	volume-3	"granulometry___volume-3":
granu_open_volume_5	granu	granulometry	granugrey	Granulometry features	1	granulometry_operation_open_volume-5	granulometry	granulometry	granulometry	Granulometry features	operation_open	volume-5	"granulometry___volume-5":
granu_open_volume_7	granu	granulometry	granugrey	Granulometry features	1	granulometry_operation_open_volume-7	granulometry	granulometry	granulometry	Granulometry features	operation_open	volume-7	"granulometry___volume-7":
gyration_radius	_	moments	moments	Moments	1	gyration__radius	gyration	moments	moments	Moments		radius	"gyration___radius":
gyration_ratio	_	moments	moments	Moments	1	gyration__ratio	gyration	moments	moments	Moments		ratio	"gyration___ratio":
h1_2ASM	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_1_angular-step_45_ASM	haralick	haralick	haralick	Haralick features	distance_1_angular-step_45	ASM	"haralick___ASM":
h1_2CON	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_1_angular-step_45_CON	haralick	haralick	haralick	Haralick features	distance_1_angular-step_45	CON	"haralick___CON":
h1_2COR	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_1_angular-step_45_COR	haralick	haralick	haralick	Haralick features	distance_1_angular-step_45	COR	"haralick___COR":
h1_2COV	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_1_angular-step_45_COV	haralick	haralick	haralick	Haralick features	distance_1_angular-step_45	COV	"haralick___COV":
h1_2DAV	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_1_angular-step_45_DAV	haralick	haralick	haralick	Haralick features	distance_1_angular-step_45	DAV	"haralick___DAV":
h1_2ENT	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_1_angular-step_45_ENT	haralick	haralick	haralick	Haralick features	distance_1_angular-step_45	ENT	"haralick___ENT":
h1_2IDM	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_1_angular-step_45_IDM	haralick	haralick	haralick	Haralick features	distance_1_angular-step_45	IDM	"haralick___IDM":
h1_2PRO	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_1_angular-step_45_PRO	haralick	haralick	haralick	Haralick features	distance_1_angular-step_45	PRO	"haralick___PRO":
h1_2SAV	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_1_angular-step_45_SAV	haralick	haralick	haralick	Haralick features	distance_1_angular-step_45	SAV	"haralick___SAV":
h1_2SET	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_1_angular-step_45_SET	haralick	haralick	haralick	Haralick features	distance_1_angular-step_45	SET	"haralick___SET":
h1_2SHA	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_1_angular-step_45_SHA	haralick	haralick	haralick	Haralick features	distance_1_angular-step_45	SHA	"haralick___SHA":
h1_2SVA	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_1_angular-step_45_SVA	haralick	haralick	haralick	Haralick features	distance_1_angular-step_45	SVA	"haralick___SVA":
h1_2VAR	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_1_angular-step_45_VAR	haralick	haralick	haralick	Haralick features	distance_1_angular-step_45	VAR	"haralick___VAR":
h1_2average	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_1_angular-step_45_average	haralick	haralick	haralick	Haralick features	distance_1_angular-step_45	average	"haralick___average":
h1_2variance	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_1_angular-step_45_variance 	haralick	haralick	haralick	Haralick features	distance_1_angular-step_45	variance 	"haralick___variance ":
h1_ASM	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_1_angular-step_45_ASM	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_1_angular-step_45	ASM	"haralick-normalized___ASM":
h1_CON	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_1_angular-step_45_CON	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_1_angular-step_45	CON	"haralick-normalized___CON":
h1_COR	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_1_angular-step_45_COR	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_1_angular-step_45	COR	"haralick-normalized___COR":
h1_COV	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_1_angular-step_45_COV	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_1_angular-step_45	COV	"haralick-normalized___COV":
h1_DAV	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_1_angular-step_45_DAV	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_1_angular-step_45	DAV	"haralick-normalized___DAV":
h1_ENT	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_1_angular-step_45_ENT	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_1_angular-step_45	ENT	"haralick-normalized___ENT":
h1_IDM	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_1_angular-step_45_IDM	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_1_angular-step_45	IDM	"haralick-normalized___IDM":
h1_PRO	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_1_angular-step_45_PRO	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_1_angular-step_45	PRO	"haralick-normalized___PRO":
h1_SAV	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_1_angular-step_45_SAV	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_1_angular-step_45	SAV	"haralick-normalized___SAV":
h1_SET	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_1_angular-step_45_SET	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_1_angular-step_45	SET	"haralick-normalized___SET":
h1_SHA	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_1_angular-step_45_SHA	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_1_angular-step_45	SHA	"haralick-normalized___SHA":
h1_SVA	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_1_angular-step_45_SVA	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_1_angular-step_45	SVA	"haralick-normalized___SVA":
h1_VAR	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_1_angular-step_45_VAR	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_1_angular-step_45	VAR	"haralick-normalized___VAR":
h1_average	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_1_angular-step_45_average	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_1_angular-step_45	average	"haralick-normalized___average":
h1_variance	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_1_angular-step_45_variance 	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_1_angular-step_45	variance 	"haralick-normalized___variance ":
h2_2ASM	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_2_angular-step_45_ASM	haralick	haralick	haralick	Haralick features	distance_2_angular-step_45	ASM	"haralick___ASM":
h2_2CON	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_2_angular-step_45_CON	haralick	haralick	haralick	Haralick features	distance_2_angular-step_45	CON	"haralick___CON":
h2_2COR	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_2_angular-step_45_COR	haralick	haralick	haralick	Haralick features	distance_2_angular-step_45	COR	"haralick___COR":
h2_2COV	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_2_angular-step_45_COV	haralick	haralick	haralick	Haralick features	distance_2_angular-step_45	COV	"haralick___COV":
h2_2DAV	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_2_angular-step_45_DAV	haralick	haralick	haralick	Haralick features	distance_2_angular-step_45	DAV	"haralick___DAV":
h2_2ENT	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_2_angular-step_45_ENT	haralick	haralick	haralick	Haralick features	distance_2_angular-step_45	ENT	"haralick___ENT":
h2_2IDM	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_2_angular-step_45_IDM	haralick	haralick	haralick	Haralick features	distance_2_angular-step_45	IDM	"haralick___IDM":
h2_2PRO	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_2_angular-step_45_PRO	haralick	haralick	haralick	Haralick features	distance_2_angular-step_45	PRO	"haralick___PRO":
h2_2SAV	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_2_angular-step_45_SAV	haralick	haralick	haralick	Haralick features	distance_2_angular-step_45	SAV	"haralick___SAV":
h2_2SET	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_2_angular-step_45_SET	haralick	haralick	haralick	Haralick features	distance_2_angular-step_45	SET	"haralick___SET":
h2_2SHA	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_2_angular-step_45_SHA	haralick	haralick	haralick	Haralick features	distance_2_angular-step_45	SHA	"haralick___SHA":
h2_2SVA	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_2_angular-step_45_SVA	haralick	haralick	haralick	Haralick features	distance_2_angular-step_45	SVA	"haralick___SVA":
h2_2VAR	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_2_angular-step_45_VAR	haralick	haralick	haralick	Haralick features	distance_2_angular-step_45	VAR	"haralick___VAR":
h2_2average	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_2_angular-step_45_average	haralick	haralick	haralick	Haralick features	distance_2_angular-step_45	average	"haralick___average":
h2_2variance	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_2_angular-step_45_variance 	haralick	haralick	haralick	Haralick features	distance_2_angular-step_45	variance 	"haralick___variance ":
h2_ASM	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_2_angular-step_45_ASM	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_2_angular-step_45	ASM	"haralick-normalized___ASM":
h2_CON	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_2_angular-step_45_CON	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_2_angular-step_45	CON	"haralick-normalized___CON":
h2_COR	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_2_angular-step_45_COR	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_2_angular-step_45	COR	"haralick-normalized___COR":
h2_COV	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_2_angular-step_45_COV	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_2_angular-step_45	COV	"haralick-normalized___COV":
h2_DAV	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_2_angular-step_45_DAV	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_2_angular-step_45	DAV	"haralick-normalized___DAV":
h2_ENT	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_2_angular-step_45_ENT	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_2_angular-step_45	ENT	"haralick-normalized___ENT":
h2_IDM	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_2_angular-step_45_IDM	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_2_angular-step_45	IDM	"haralick-normalized___IDM":
h2_PRO	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_2_angular-step_45_PRO	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_2_angular-step_45	PRO	"haralick-normalized___PRO":
h2_SAV	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_2_angular-step_45_SAV	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_2_angular-step_45	SAV	"haralick-normalized___SAV":
h2_SET	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_2_angular-step_45_SET	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_2_angular-step_45	SET	"haralick-normalized___SET":
h2_SHA	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_2_angular-step_45_SHA	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_2_angular-step_45	SHA	"haralick-normalized___SHA":
h2_SVA	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_2_angular-step_45_SVA	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_2_angular-step_45	SVA	"haralick-normalized___SVA":
h2_VAR	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_2_angular-step_45_VAR	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_2_angular-step_45	VAR	"haralick-normalized___VAR":
h2_average	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_2_angular-step_45_average	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_2_angular-step_45	average	"haralick-normalized___average":
h2_variance	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_2_angular-step_45_variance 	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_2_angular-step_45	variance 	"haralick-normalized___variance ":
h4_2ASM	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_4_angular-step_45_ASM	haralick	haralick	haralick	Haralick features	distance_4_angular-step_45	ASM	"haralick___ASM":
h4_2CON	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_4_angular-step_45_CON	haralick	haralick	haralick	Haralick features	distance_4_angular-step_45	CON	"haralick___CON":
h4_2COR	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_4_angular-step_45_COR	haralick	haralick	haralick	Haralick features	distance_4_angular-step_45	COR	"haralick___COR":
h4_2COV	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_4_angular-step_45_COV	haralick	haralick	haralick	Haralick features	distance_4_angular-step_45	COV	"haralick___COV":
h4_2DAV	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_4_angular-step_45_DAV	haralick	haralick	haralick	Haralick features	distance_4_angular-step_45	DAV	"haralick___DAV":
h4_2ENT	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_4_angular-step_45_ENT	haralick	haralick	haralick	Haralick features	distance_4_angular-step_45	ENT	"haralick___ENT":
h4_2IDM	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_4_angular-step_45_IDM	haralick	haralick	haralick	Haralick features	distance_4_angular-step_45	IDM	"haralick___IDM":
h4_2PRO	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_4_angular-step_45_PRO	haralick	haralick	haralick	Haralick features	distance_4_angular-step_45	PRO	"haralick___PRO":
h4_2SAV	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_4_angular-step_45_SAV	haralick	haralick	haralick	Haralick features	distance_4_angular-step_45	SAV	"haralick___SAV":
h4_2SET	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_4_angular-step_45_SET	haralick	haralick	haralick	Haralick features	distance_4_angular-step_45	SET	"haralick___SET":
h4_2SHA	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_4_angular-step_45_SHA	haralick	haralick	haralick	Haralick features	distance_4_angular-step_45	SHA	"haralick___SHA":
h4_2SVA	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_4_angular-step_45_SVA	haralick	haralick	haralick	Haralick features	distance_4_angular-step_45	SVA	"haralick___SVA":
h4_2VAR	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_4_angular-step_45_VAR	haralick	haralick	haralick	Haralick features	distance_4_angular-step_45	VAR	"haralick___VAR":
h4_2average	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_4_angular-step_45_average	haralick	haralick	haralick	Haralick features	distance_4_angular-step_45	average	"haralick___average":
h4_2variance	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_4_angular-step_45_variance 	haralick	haralick	haralick	Haralick features	distance_4_angular-step_45	variance 	"haralick___variance ":
h4_ASM	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_4_angular-step_45_ASM	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_4_angular-step_45	ASM	"haralick-normalized___ASM":
h4_CON	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_4_angular-step_45_CON	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_4_angular-step_45	CON	"haralick-normalized___CON":
h4_COR	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_4_angular-step_45_COR	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_4_angular-step_45	COR	"haralick-normalized___COR":
h4_COV	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_4_angular-step_45_COV	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_4_angular-step_45	COV	"haralick-normalized___COV":
h4_DAV	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_4_angular-step_45_DAV	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_4_angular-step_45	DAV	"haralick-normalized___DAV":
h4_ENT	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_4_angular-step_45_ENT	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_4_angular-step_45	ENT	"haralick-normalized___ENT":
h4_IDM	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_4_angular-step_45_IDM	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_4_angular-step_45	IDM	"haralick-normalized___IDM":
h4_PRO	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_4_angular-step_45_PRO	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_4_angular-step_45	PRO	"haralick-normalized___PRO":
h4_SAV	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_4_angular-step_45_SAV	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_4_angular-step_45	SAV	"haralick-normalized___SAV":
h4_SET	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_4_angular-step_45_SET	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_4_angular-step_45	SET	"haralick-normalized___SET":
h4_SHA	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_4_angular-step_45_SHA	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_4_angular-step_45	SHA	"haralick-normalized___SHA":
h4_SVA	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_4_angular-step_45_SVA	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_4_angular-step_45	SVA	"haralick-normalized___SVA":
h4_VAR	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_4_angular-step_45_VAR	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_4_angular-step_45	VAR	"haralick-normalized___VAR":
h4_average	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_4_angular-step_45_average	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_4_angular-step_45	average	"haralick-normalized___average":
h4_variance	h<i>	haralick	haralick	Haralick features	1	haralick-normalized_distance_4_angular-step_45_variance 	haralick-normalized	haralick-normalized	haralick	Haralick features	distance_4_angular-step_45	variance 	"haralick-normalized___variance ":
h8_2ASM	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_8_angular-step_45_ASM	haralick	haralick	haralick	Haralick features	distance_8_angular-step_45	ASM	"haralick___ASM":
h8_2CON	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_8_angular-step_45_CON	haralick	haralick	haralick	Haralick features	distance_8_angular-step_45	CON	"haralick___CON":
h8_2COR	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_8_angular-step_45_COR	haralick	haralick	haralick	Haralick features	distance_8_angular-step_45	COR	"haralick___COR":
h8_2COV	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_8_angular-step_45_COV	haralick	haralick	haralick	Haralick features	distance_8_angular-step_45	COV	"haralick___COV":
h8_2DAV	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_8_angular-step_45_DAV	haralick	haralick	haralick	Haralick features	distance_8_angular-step_45	DAV	"haralick___DAV":
h8_2ENT	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_8_angular-step_45_ENT	haralick	haralick	haralick	Haralick features	distance_8_angular-step_45	ENT	"haralick___ENT":
h8_2IDM	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_8_angular-step_45_IDM	haralick	haralick	haralick	Haralick features	distance_8_angular-step_45	IDM	"haralick___IDM":
h8_2PRO	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_8_angular-step_45_PRO	haralick	haralick	haralick	Haralick features	distance_8_angular-step_45	PRO	"haralick___PRO":
h8_2SAV	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_8_angular-step_45_SAV	haralick	haralick	haralick	Haralick features	distance_8_angular-step_45	SAV	"haralick___SAV":
h8_2SET	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_8_angular-step_45_SET	haralick	haralick	haralick	Haralick features	distance_8_angular-step_45	SET	"haralick___SET":
h8_2SHA	h<i>_2	haralick2	haralick	Haralick features	1	haralick_distance_8_angular-step_45_SHA	haralick	haralick	haralick	Haralick features	distance_8_angular-step_45	SHA	"haralick___SHA":
